,celebrity,img,label,text
0,False,img_00000,Human People Person,False
1,True,img_00001,,True
2,True,img_00005,,True
3,False,img_00008,Human People Person Lip Mouth,False
4,False,img_00010,Cosmetics Mascara,True
5,False,img_00011,Food Leisure Activities Meal Picnic Conifer Flora Plant Tree Yew,False
6,False,img_00012,Aircraft Airplane Jet Transportation,True
7,False,img_00014,Promontory Cliff Outdoors,False
8,False,img_00016,Sailboat Transportation Vessel Watercraft Boat Yacht Dinghy,False
9,False,img_00017,Afro Hairstyle Hair,True
10,True,img_00018,Audience Crowd Speech,True
11,False,img_00021,Human People Person Face Portrait Blonde Female Girl Woman,True
12,True,img_00023,,True
13,True,img_00025,,True
14,True,img_00027,Premiere Red Carpet Red Carpet Premiere,True
15,True,img_00029,Premiere Red Carpet Red Carpet Premiere Clothing Coat Overcoat Suit,True
16,False,img_00030,Human People Person Kiss Kissing,False
17,True,img_00031,,False
18,False,img_00032,Human People Person Bikini Clothing Swimwear Massage Patient,False
19,False,img_00033,Brochure Flyer Paper Poster,True
20,True,img_00034,,True
21,False,img_00036,Aircraft Airplane Transportation,True
22,False,img_00038,Luggage Suitcase Subway Terminal Train Train Station Transportation Vehicle,False
23,True,img_00039,,True
24,False,img_00040,,True
25,False,img_00042,Human People Person Face Portrait Smile,False
26,True,img_00044,,True
27,True,img_00045,,False
28,False,img_00046,Human People Person Automobile Car Transportation Vehicle,True
29,True,img_00047,Team,True
30,False,img_00049,Wristwatch Brochure Flyer Paper Poster Digital Watch,True
31,False,img_00051,Apple Flora Food Fruit Plant Produce Cabbage Kale Vegetable Squash Zucchini,True
32,False,img_00053,Human People Person Electronics Monitor Screen TV Television Guitar Guitarist Leisure Activities Music Musical Instrument Musician Performer,True
33,True,img_00054,Blackboard,True
34,True,img_00055,Chair Furniture,True
35,False,img_00058,Bowl Chair Furniture Dining Table Table Dining Room Indoors Interior Design Room,False
36,False,img_00060,Dish Food Meal Plate,True
37,False,img_00061,Aluminium Can Tin,True
38,False,img_00062,Human People Person,False
39,True,img_00065,,False
40,False,img_00067,,True
41,False,img_00070,Human People Person Bed Furniture Toilet Bedroom Indoors Interior Design Room,False
42,True,img_00071,Flora Jar Plant Potted Plant Pottery Vase,True
43,False,img_00073,Paint Container Palette,True
44,False,img_00075,Human People Person Animal Cat Mammal Pet Siamese Cell Phone Computer Electronics Mobile Phone Phone,True
45,False,img_00077,Human People Person,False
46,False,img_00079,Human People Person,True
47,True,img_00080,,False
48,True,img_00081,,False
49,False,img_00085,Human People Person Console Electronics Appliance Electrical Device Microwave Oven,True
50,True,img_00086,Blonde Female Girl Woman,False
51,True,img_00088,Art Buddha Worship,False
52,True,img_00089,,False
53,True,img_00092,,False
54,True,img_00096,,False
55,True,img_00097,Crowd,True
56,False,img_00099,Animal Coral Reef Nature Ocean Outdoors Reef Sea Sea Life Water Reptile Sea Turtle Tortoise Turtle Sponge Animal,False
57,False,img_00100,Human People Person Brochure Flyer Paper Poster,True
58,False,img_00101,Wristwatch,True
59,False,img_00102,,True
60,False,img_00103,Cosmetics Deodorant,True
61,True,img_00105,Afro Hairstyle Hair,False
62,True,img_00106,Face Portrait,False
63,True,img_00107,,True
64,True,img_00108,,True
65,True,img_00109,Couch Furniture,False
66,True,img_00110,Clothing Coat Overcoat Suit Tuxedo,True
67,False,img_00111,Human People Person,True
68,True,img_00112,Premiere Red Carpet Red Carpet Premiere,True
69,True,img_00113,Premiere Red Carpet Red Carpet Premiere,True
70,True,img_00114,Clothing Coat Overcoat Suit,False
71,False,img_00116,Human People Person,False
72,False,img_00118,Human People Person Asleep,True
73,True,img_00119,,True
74,True,img_00122,,True
75,False,img_00123,Human People Person Blonde Female Girl Woman,True
76,False,img_00124,Human People Person,False
77,False,img_00126,,True
78,False,img_00127,Human People Person,False
79,False,img_00128,,True
80,False,img_00129,Amusement Park Ferris Wheel Leisure Activities,True
81,False,img_00130,Human People Person,True
82,False,img_00131,Human People Person Couch Furniture Flora Jar Plant Potted Plant Pottery Vase Candle,False
83,False,img_00132,Human People Person Couch Furniture Hug,False
84,False,img_00133,Human People Person Bikini Clothing Swimwear,False
85,True,img_00136,,False
86,False,img_00137,Human People Person Face Portrait,False
87,False,img_00140,Flora Jar Plant Potted Plant Pottery Vase Couch Furniture Restaurant Dining Room Indoors Interior Design Room Bonsai Tree Dining Table Table,True
88,True,img_00141,,False
89,False,img_00142,Flora Jar Plant Potted Plant Pottery Vase Dining Table Furniture Table Chair Plywood Wood,False
90,True,img_00144,Bench,False
91,False,img_00145,Human People Person Face Portrait Female,False
92,False,img_00146,,True
93,False,img_00147,Human People Person Face Portrait,False
94,False,img_00148,Architecture Building City Downtown Plaza Town Town Square Urban,True
95,False,img_00150,Glasses Human People Person,False
96,False,img_00152,Human People Person,False
97,True,img_00153,,False
98,False,img_00154,Human People Person Runway Female Blonde Girl Woman,False
99,False,img_00155,Lip Mouth,True
100,False,img_00156,Human People Person Baby Child Kid Newborn,False
101,False,img_00157,Architecture Building Dome Cathedral Church Worship Bridge,True
102,True,img_00159,Blonde Female Girl Woman,True
103,False,img_00160,Aftershave Cosmetics,True
104,False,img_00162,Flora Jar Plant Potted Plant Pottery Vase Indoors Lobby Room Ice Skating Rink Skating Sport Sports,False
105,False,img_00163,Human People Person,False
106,False,img_00164,Human People Person,True
107,False,img_00165,,True
108,False,img_00166,Human People Person Female,False
109,False,img_00167,Human People Person,True
110,False,img_00169,Computer Electronics Tablet Computer,False
111,False,img_00170,Boat Gondola Transportation Vessel Watercraft Canal Outdoors Water,True
112,False,img_00172,,True
113,False,img_00173,Human People Person,False
114,False,img_00174,Home Decor Linen,False
115,False,img_00175,Aircraft Airplane Bomber Transportation Warplane,False
116,False,img_00176,Ornament Outdoors Ripple Water,False
117,False,img_00177,,True
118,False,img_00178,Human People Person Appliance Electrical Device Oven Sink Chair Furniture,False
119,True,img_00179,Collage Poster,True
120,False,img_00180,Human People Person Toilet,False
121,False,img_00182,Human People Person,True
122,False,img_00183,Human People Person Collage Poster,True
123,True,img_00184,,True
124,False,img_00185,Canal Outdoors Water Flora Plant Vegetation,False
125,True,img_00186,Face Portrait,False
