,media_url
img_00005,https://pbs.twimg.com/media/DOtY4hsXUAAParB.jpg
img_00010,https://pbs.twimg.com/media/DOssiD7X0AALTfj.jpg
img_00016,https://pbs.twimg.com/media/DOpJmmHW0AE50Tc.jpg
img_00021,https://pbs.twimg.com/ext_tw_video_thumb/930558034795024384/pu/img/V7daOM1lglfDPI-a.jpg
img_00025,https://pbs.twimg.com/media/DOnT5hiXUAA75_s.jpg
img_00027,https://pbs.twimg.com/media/DOm3p0FXcAAj3TF.jpg
img_00029,https://pbs.twimg.com/media/DOmfvnXW4AII7RV.jpg
img_00038,https://pbs.twimg.com/media/DOjmPYrUIAEQhsb.jpg
img_00039,https://pbs.twimg.com/tweet_video_thumb/DOjcwaBUIAAH7YW.jpg
img_00040,https://pbs.twimg.com/media/DOjb62IXkAAr6_s.jpg
img_00043,https://pbs.twimg.com/media/DOia0FfXkAEt5xS.jpg
img_00045,https://pbs.twimg.com/tweet_video_thumb/DOiR-1gXcAApnCy.jpg
img_00046,https://pbs.twimg.com/tweet_video_thumb/DOiSdeiX0AIZ75P.jpg
img_00047,https://pbs.twimg.com/media/DOiM87SXkAAkeYi.jpg
img_00054,https://pbs.twimg.com/media/DOhjzFEWAAEDpNw.jpg
img_00055,https://pbs.twimg.com/media/DOhd6w0XUAA8fax.jpg
img_00062,https://pbs.twimg.com/media/DOeknjdW4AUKAQ2.jpg
img_00070,https://pbs.twimg.com/media/DOaqGgXUIAU6Vua.jpg
img_00073,https://pbs.twimg.com/media/DOZPKnZVoAAEwqr.jpg
img_00080,https://pbs.twimg.com/media/DOYG_pQWAAE0iFe.jpg
img_00081,https://pbs.twimg.com/media/DOXrK_jXUAI3zFM.jpg
img_00089,https://pbs.twimg.com/media/DOVlndNUEAAc7Zp.jpg
img_00096,https://pbs.twimg.com/media/DOSsxDPWAAQXuib.jpg
img_00097,https://pbs.twimg.com/media/DOSpT6uXUAA3dF-.jpg
img_00099,https://pbs.twimg.com/media/DOSXM1LXkAUcZvl.jpg
