,img,type,label,confidence
0,img_00000,Label,Human,98.53099060058594
1,img_00000,Label,People,98.53094482421875
2,img_00000,Label,Person,98.53099060058594
3,img_00001,Label,Human,99.09408569335938
4,img_00001,Label,People,99.09408569335938
5,img_00001,Label,Person,99.09408569335938
6,img_00001,Label,Face,88.71119689941406
7,img_00001,Label,Portrait,88.71119689941406
8,img_00001,Label,Female,78.47571563720703
9,img_00001,Celebrity,Kim Kardashian,99.99999237060547
10,img_00001,Text,I,83.01500701904297
11,img_00001,Text,1L,61.24687957763672
12,img_00001,Text,A,89.47870635986328
13,img_00001,Text,I,83.01500701904297
14,img_00001,Text,1L,61.24687957763672
15,img_00001,Text,A,89.47870635986328
16,img_00005,Label,Human,99.25098419189453
17,img_00005,Label,People,99.25098419189453
18,img_00005,Label,Person,99.25098419189453
19,img_00005,Label,Face,77.60781860351562
20,img_00005,Label,Portrait,77.60781860351562
21,img_00005,Label,Smile,77.60781860351562
22,img_00005,Celebrity,"Prince William, Duke of Cambridge",99.9953384399414
23,img_00005,Celebrity,Tiggy Legge-Bourke,100.0
24,img_00005,Celebrity,Prince George of Cambridge,99.99360656738281
25,img_00005,Text,AIR,95.58708190917969
26,img_00005,Text,te,48.57658386230469
27,img_00005,Text,AIR,95.58708190917969
28,img_00005,Text,te,48.57658386230469
29,img_00008,Label,Human,99.12618255615234
30,img_00008,Label,People,99.12617492675781
31,img_00008,Label,Person,99.12618255615234
32,img_00008,Label,Lip,93.48818969726562
33,img_00008,Label,Mouth,93.48818969726562
34,img_00010,Label,Cosmetics,99.31047821044922
35,img_00010,Label,Mascara,99.31047821044922
36,img_00010,Text,tarte,86.23997497558594
37,img_00010,Text,fed,69.94288635253906
38,img_00010,Text,to,55.48145294189453
39,img_00010,Text,tarte,86.23997497558594
40,img_00010,Text,fed,69.94288635253906
41,img_00010,Text,to,55.48145294189453
42,img_00011,Label,Food,96.3436279296875
43,img_00011,Label,Leisure Activities,96.3436279296875
44,img_00011,Label,Meal,96.3436279296875
45,img_00011,Label,Picnic,96.3436279296875
46,img_00011,Label,Conifer,88.73406982421875
47,img_00011,Label,Flora,88.73406982421875
48,img_00011,Label,Plant,88.73406982421875
49,img_00011,Label,Tree,88.73406982421875
50,img_00011,Label,Yew,79.67326354980469
51,img_00012,Label,Aircraft,98.06431579589844
52,img_00012,Label,Airplane,98.06431579589844
53,img_00012,Label,Jet,98.06431579589844
54,img_00012,Label,Transportation,98.06431579589844
55,img_00012,Text,heD,41.72631072998047
56,img_00012,Text,jetB,92.5806655883789
57,img_00012,Text,e,73.41370391845703
58,img_00012,Text,York,80.86844635009766
59,img_00012,Text,586,86.85680389404297
60,img_00012,Text,jetB,92.5806655883789
61,img_00012,Text,heD,41.72631072998047
62,img_00012,Text,e,73.41370391845703
63,img_00012,Text,York,80.86844635009766
64,img_00012,Text,586,86.85680389404297
65,img_00014,Label,Promontory,98.39028930664062
66,img_00014,Label,Cliff,81.03083038330078
67,img_00014,Label,Outdoors,81.03083038330078
68,img_00016,Label,Sailboat,98.22925567626953
69,img_00016,Label,Transportation,98.22925567626953
70,img_00016,Label,Vessel,98.22925567626953
71,img_00016,Label,Watercraft,98.22925567626953
72,img_00016,Label,Boat,97.05988311767578
73,img_00016,Label,Yacht,96.09352111816406
74,img_00016,Label,Dinghy,89.76426696777344
75,img_00017,Label,Afro Hairstyle,89.63516998291016
76,img_00017,Label,Hair,89.63516998291016
77,img_00017,Text,c,59.15353775024414
78,img_00017,Text,c,59.15353775024414
79,img_00018,Label,Human,99.17756652832031
80,img_00018,Label,People,99.17755126953125
81,img_00018,Label,Person,99.17756652832031
82,img_00018,Label,Audience,98.63636779785156
83,img_00018,Label,Crowd,98.63636779785156
84,img_00018,Label,Speech,98.63636779785156
85,img_00018,Label,Debate,75.0960693359375
86,img_00018,Celebrity,Rush Propst,97.87733459472656
87,img_00018,Text,UMP,90.95427703857422
88,img_00018,Text,Yor',87.67964172363281
89,img_00018,Text,UMP,90.95427703857422
90,img_00018,Text,Yor',87.67964172363281
91,img_00021,Label,Human,99.29534912109375
92,img_00021,Label,People,99.29534912109375
93,img_00021,Label,Person,99.29534912109375
94,img_00021,Label,Face,79.57146453857422
95,img_00021,Label,Portrait,79.57146453857422
96,img_00021,Label,Blonde,78.1457748413086
97,img_00021,Label,Female,78.1457748413086
98,img_00021,Label,Girl,78.1457748413086
99,img_00021,Label,Woman,78.1457748413086
100,img_00021,Text,Y,37.828800201416016
101,img_00021,Text,Y,37.828800201416016
102,img_00023,Label,Human,99.27888488769531
103,img_00023,Label,People,99.27888488769531
104,img_00023,Label,Person,99.27888488769531
105,img_00023,Label,Face,77.64632415771484
106,img_00023,Label,Portrait,77.64632415771484
107,img_00023,Label,Smile,77.64632415771484
108,img_00023,Celebrity,Ty Dolla Sign,99.9939193725586
109,img_00023,Text,old,63.81797790527344
110,img_00023,Text,C,45.601959228515625
111,img_00023,Text,old,63.81797790527344
112,img_00023,Text,C,45.601959228515625
113,img_00025,Label,Human,99.2981185913086
114,img_00025,Label,People,99.2981185913086
115,img_00025,Label,Person,99.2981185913086
116,img_00025,Celebrity,Meghan Markle,99.99584197998047
117,img_00025,Text,ET,87.21339416503906
118,img_00025,Text,INT,88.31123352050781
119,img_00025,Text,ET,87.21339416503906
120,img_00025,Text,INT,88.31123352050781
121,img_00027,Label,Human,99.27330017089844
122,img_00027,Label,People,99.27330017089844
123,img_00027,Label,Person,99.27330017089844
124,img_00027,Label,Premiere,97.90853881835938
125,img_00027,Label,Red Carpet,97.90853881835938
126,img_00027,Label,Red Carpet Premiere,97.90853881835938
127,img_00027,Celebrity,Nicole Kidman,99.93169403076172
